Teks,label
Penetapan rekanan tanpa proses kompetitif. Komisi 18% dari nilai kerjasama. Gunakan perusahaan afiliasi.,1
meeting di hotel. kontak via aplikasi amankomunikasi rahasia,1
Penggunaan fasilitas kantor harus sesuai dengan peraturan yang berlaku dan untuk kepentingan pekerjaan semata.,0
Pengajuan cuti tahunan harus dilakukan minimal 7 hari sebelum tanggal cuti melalui sistem HR yang telah disediakan.,0
Tender proyek; pengadaan pemerintahProyek konstruksi,1
Ada peluang tender proyek pemerintah yang bisa diatur. Butuh 'jembatan' sebesar 7% dari nilai proyek. Dana via multiple transfer.,1
"sebesar Rp 50 juta, kemudian senilai 1000 juta40% dari nilai",1
Workshop innovation thinking akan diadakan untuk semua level karyawan guna meningkatkan kreativitas dalam bekerja.,0
dengan fee 40% - dengan komisi rp 200 jutadengan imbalan 5%,1
Pengadaan; pembelianprocurementpengembangan,1
"Sistem absensi digital sudah aktif, harap semua karyawan melakukan absen melalui aplikasi mobile yang telah disediakan.",0
jaminan tanpa bukti; proses rahasiatransaksi aman,1
untuk tender dimenangkan. agar proses lancarsupaya bonus besar,1
Penggunaan fasilitas kantor untuk usaha pribadi. Cukup bayar fee 3% dari omzet bulanan. Tidak perlu laporan resmi.,1
"Program mentoring untuk karyawan junior telah dibuka, pendaftaran dapat dilakukan melalui portal pengembangan karir.",0
"Update sistem ERP akan dilakukan akhir pekan ini, harap backup data penting sebelum proses update dimulai.",0
Laporan keuangan triwulan menunjukkan pertumbuhan yang stabil dengan peningkatan pendapatan sebesar 15% dibandingkan periode sebelumnya.,0
Pengajuan reimbursement harus disertai dengan invoice asli dan telah mendapat approval dari atasan langsung.,0
"Pembagian tugas proyek baru sudah ditetapkan, detailnya dapat dilihat di dashboard project management.",0
Pelatihan soft skills untuk karyawan baru akan dilaksanakan minggu depan dengan materi komunikasi efektif dan teamwork.,0
Rapat koordinasi tim akan diadakan besok pukul 10.00 WIB di ruang meeting lantai 5 untuk membahas progress proyek terkini.,0
"Pemeliharaan rutin server akan dilakukan pada hari Sabtu pukul 00.00-04.00 WIB, harap simpan semua pekerjaan sebelum waktu tersebut.",0
Buat laporan fiktif. Selanjutnya siapkan invoice palsuDokumen pendukung palsu,1
Audit internal akan dilakukan bulan depan untuk memastikan compliance dengan standar operasional perusahaan.,0
"Evaluasi kinerja kuartalan akan dimulai bulan depan, pastikan semua target dan pencapaian telah didokumentasikan dengan baik.",0
"Kebijakan baru mengenai business travel telah diterbitkan, termasuk ketentuan akomodasi dan transportasi.",0
Perubahan dokumen kontrak untuk keuntungan bersama. Fee negotiable 10-20% dari nilai tambahan. Komunikasi via ponsel kedua.,1
"transaksi rekening offshore, kemudian pembayaran transfer bertahapvia aplikasi encrypted",1
Pengadaan - pembelianprocurementpengembangan,1
Tender proyek. pengadaan pemerintahProyek konstruksi,1
dengan fee 20%; dengan komisi rp 1000 jutadengan imbalan 5%,1
Buat laporan fiktif. siapkan invoice palsuDokumen pendukung palsu,1
sebesar Rp 500 juta. senilai 100 juta5% dari nilai,1
"Buat laporan fiktif, kemudian siapkan invoice palsuDokumen pendukung palsu",1
Pemeriksaan kesehatan karyawan rutin tahunan akan dilakukan bekerjasama dengan rumah sakit mitra perusahaan.,0
30% dari harga asli. 150 juta dari nilai sebenarnyaRp 150 juta lebih tinggi,1
Training technical skills untuk divisi IT akan dilaksanakan selama 3 hari dengan instruktur dari vendor ternama.,0
Acara gathering perusahaan akan diadakan akhir bulan ini dengan tema 'Synergy for Better Future'.,0
Tender proyek - pengadaan pemerintahProyek konstruksi,1
untuk tender dimenangkan. Selanjutnya agar proses lancarsupaya posisi aman,1
transaksi via cryptocurrency - pembayaran melalui rekening perusahaan shelltransfer ke rekening digital,1
"Proyek infrastruktur desa bisa dialokasikan untuk kepentingan pribadi. Saya sudah siapkan dokumen pendukung. Anda hanya perlu tanda tangan, komisi 40%.",1
Manipulasi hasil lelang proyek membutuhkan kolaborasi. Fee 5% untuk Anda sebagai 'konsultan'. Pembayaran via offshore account.,1
"transaksi via cryptocurrency, kemudian pembayaran melalui rekening atas nama orang laintransfer ke rekening luar negeri",1
Pengumuman promosi jabatan akan dikeluarkan minggu depan berdasarkan hasil assessment dan performa kerja.,0
untuk kasus ditutup - agar audit bersihsupaya bonus besar,1
Perlu 'uang pengamanan' - butuh biaya 'lubang'Kompensasi khusus,1
untuk tender dimenangkan. senilai rp 150 jutadengan nilai 150 juta,1
Penyalahgunaan wewenang untuk kepentingan keluarga. Saya bisa bantu dengan fee 15% dari nilai proyek.,1
sebesar Rp 100 juta. senilai 1000 juta20% dari nilai,1
Pengadaan. Selanjutnya pembelianprocurementpengembangan,1
10% dari harga asli - 100 juta dari nilai sebenarnyaRp 50 juta lebih tinggi,1
Ada program subsidi yang bisa dimanfaatkan untuk grup tertentu. Komisi 6% dari total subsidi. Gunakan rekening atas nama orang lain.,1
transaksi transfer digital. pembayaran tunai di tempatvia platform private,1
Perlu 'uang pengamanan'. butuh biaya 'lubang'Kompensasi khusus,1
bagi hasil 30:30. Selanjutnya komisi 30%fee 20 juta,1
keuntungan kita bagi; komisi 10% untuk andafee 250 juta,1
Pengadaan. pembelianprocurementpengembangan,1
Pengadaan barang inventaris bisa di-markup 30%. Untuk barang elektronik senilai 20 juta bisa dilaporkan 26 juta. Fee 40% untuk Anda.,1
"Pembaruan kebijakan perusahaan mengenai work from home telah diunggah di portal internal, harap dibaca dan dipahami.",0
transaksi via transfer digital. pembayaran melalui rekening keluargatransfer ke rekening digital,1
"Ada kuota impor khusus yang bisa dialokasikan. Untuk setiap kuota senilai 1 Milyar, komisi 8%. Gunakan perusahaan shell.",1
Perlu 'uang terima kasih'. Selanjutnya butuh biaya 'lubang'Kompensasi khusus,1
20% dari harga asli. 500 juta dari nilai sebenarnyaRp 10 juta lebih tinggi,1
dokumen sudah disiapkan - proses cepatjaminan aman,1
sebesar Rp 100 juta; senilai 100 juta30% dari nilai,1
transaksi via transfer digital; pembayaran melalui rekening keluargatransfer ke rekening bersama,1
"untuk kasus ditutup, kemudian senilai rp 50 jutadengan nilai 200 juta",1
dokumen sudah disiapkan. proses cepatjaminan aman,1
bagi hasil 10:10. komisi 25%fee 10 juta,1
transaksi rekening offshore - pembayaran cryptocurrencyvia email khusus,1
Pengalokasian dana darurat untuk keperluan tidak penting. Buat laporan kegiatan fiktif. Fee 45% dari total dana.,1
bisa di-markup; bisa dinaikkanbisa dilebihkanbisa ditambah,1
"Perlu 'uang pengamanan', kemudian butuh biaya 'lubang'Kompensasi khusus",1
"Ada dana bantuan sosial yang bisa dialihkan. Kita buat daftar penerima fiktif. Untuk setiap 100 juta, Anda dapat 25 juta. Gunakan rekening keluarga.",1
"bagi hasil 30:30, kemudian komisi 40%fee 100 juta",1
keuntungan kita bagi - komisi 10% untuk andafee 200 juta,1
"Saya punya informasi tender dalam perusahaan kami. Jika Anda ingin menang, saya bisa bantu dengan fee 15% dari nilai kontrak. Amannya via transfer digital.",1
"dokumen sudah disiapkan, kemudian proses cepatjaminan aman",1
Penghapusan utang perusahaan dengan fee 25% dari nilai utang. Butuh dokumen 'force majeure' yang sudah saya siapkan.,1
40% dari harga asli. 10 juta dari nilai sebenarnyaRp 1000 juta lebih tinggi,1
meeting di hotel; kontak via email pribadikomunikasi rahasia,1
dokumen sudah disiapkan. Selanjutnya proses cepatjaminan aman,1
Pemotongan pajak bisa diatur dengan skema khusus. Fee 3% dari selisih pajak. Dokumen resmi akan disiapkan.,1
"untuk izin cepat keluar, kemudian agar tidak ada masalahsupaya aman dari tuntutan",1
"meeting di ruang rahasia, kemudian kontak via aplikasi amankomunikasi rahasia",1
keuntungan kita bagi - komisi 20% untuk andafee 500 juta,1
"dengan fee 5%, kemudian dengan komisi rp 150 jutadengan imbalan 35%",1
sebesar Rp 150 juta. senilai 10 juta35% dari nilai,1
Pengaturan jadwal tender agar perusahaan tertentu menang. Fee 8% dari nilai proyek. Meeting via conference call.,1
transaksi via rekening offshore; pembayaran melalui rekening keluargatransfer ke rekening digital,1
sebesar Rp 150 juta. Selanjutnya senilai 150 juta5% dari nilai,1
